Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence summary	HPA evidence	UniProt evidence	MS evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	RNA tissue category	RNA TS	RNA TS FPKM	FPKM max in non-specific
LRRN3	FIGLER5, FLJ11129, NLRR3	ENSG00000173114	Leucine rich repeat neuronal 3	7	111091006-111125454	Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA043820, HPA046792	Uncertain		Uncertain	Nucleus, Cytoplasm	Tissue enhanced	0	adrenal gland: 20.4	testis: 16.6
LRRTM1	FLJ32082	ENSG00000162951	Leucine rich repeat transmembrane neuronal 1	2	80288351-80304749	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA062660	Supportive				Tissue enhanced	0	cerebral cortex: 5.2;salivary gland: 5.2	thyroid gland: 1.2
LRRTM2	KIAA0416	ENSG00000146006	Leucine rich repeat transmembrane neuronal 2	5	138868923-138875368	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level						Tissue enriched	8	cerebral cortex: 15.3	placenta: 1.9
LRRTM4	FLJ12568	ENSG00000176204	Leucine rich repeat transmembrane neuronal 4	2	76747719-77593319	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level						Tissue enriched	17	cerebral cortex: 10.0	lung: 0.6
LRTM2		ENSG00000166159	Leucine-rich repeats and transmembrane domains 2	12	1820267-1836752	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA055094	Uncertain				Tissue enriched	35	cerebral cortex: 3.5	adipose tissue: 0.0
LSR	ILDR3, LISCH7	ENSG00000105699	Lipolysis stimulated lipoprotein receptor	19	35248330-35267964	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA007270	Uncertain		Uncertain	Nucleus but not nucleoli, Cytoplasm, Plasma membrane	Expressed in all			stomach: 111.6
LST1	B144, D6S49E, LST-1	ENSG00000204482	Leukocyte specific transcript 1	6	31586124-31588909	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA043725	Uncertain				Expressed in all			bone marrow: 219.7
LTA	LT, TNFB, TNFSF1	ENSG00000226979	Lymphotoxin alpha	6	31572054-31574324	Cancer-related genes, Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA007729	Uncertain				Tissue enhanced	0	lymph node: 9.8;tonsil: 8.6	appendix: 4.5
LTBP1		ENSG00000049323	Latent transforming growth factor beta binding protein 1	2	32946972-33399509	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA005707, HPA006221, CAB025428	Supportive		Uncertain	Cytoplasm	Expressed in all			smooth muscle: 94.8
LTBP2	C14orf141, LTBP3	ENSG00000119681	Latent transforming growth factor beta binding protein 2	14	74498170-74612378	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA003415	Uncertain		Uncertain	Nucleus	Mixed			lung: 49.8
LTBP3	LTBP2	ENSG00000168056	Latent transforming growth factor beta binding protein 3	11	65538560-65558930	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA073170			Uncertain	Nucleus but not nucleoli	Expressed in all			ovary: 51.9
LTBP4	FLJ46318, FLJ90018, LTBP-4, LTBP-4L	ENSG00000090006	Latent transforming growth factor beta binding protein 4	19	40592883-40629818	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB015194	Uncertain				Expressed in all			prostate: 164.3
LTBR	D12S370, TNF-R-III, TNFCR, TNFR-RP, TNFR2-RP, TNFRSF3	ENSG00000111321	Lymphotoxin beta receptor (TNFR superfamily, member 3)	12	6375045-6391571	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB026202	Uncertain		Uncertain	Golgi apparatus	Expressed in all			urinary bladder: 55.9
LTF	HLF2	ENSG00000012223	Lactotransferrin	3	46435645-46485234	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB008646, CAB016201, HPA057177, HPA059976	Supportive				Tissue enhanced	0	bone marrow: 2281.3	salivary gland: 500.5
LTK	TYK1	ENSG00000062524	Leukocyte receptor tyrosine kinase	15	41503638-41513887	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA059545	Uncertain		Uncertain	Vesicles	Mixed			small intestine: 9.8
LUM	LDC, SLRR2D	ENSG00000139329	Lumican	12	91102629-91111831	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA001522, CAB022193	Uncertain				Tissue enhanced	0	gallbladder: 557.5	urinary bladder: 389.0
LUZP2		ENSG00000187398	Leucine zipper protein 2	11	24496970-25082631	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA046161	Uncertain				Group enriched	5	adrenal gland: 6.0;cerebral cortex: 18.9	prostate: 2.4
LY6E	RIG-E, SCA-2, TSA-1	ENSG00000160932	Lymphocyte antigen 6 complex, locus E	8	143017982-143023832	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA027186	Uncertain				Expressed in all			liver: 171.7
LY6G5B	C6orf19, G5b	ENSG00000240053	Lymphocyte antigen 6 complex, locus G5B	6	31670167-31673776	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA048307	Uncertain				Expressed in all			bone marrow: 18.7
LY6G6D	C6orf23, G6D, Ly6-D, MEGT1, NG25	ENSG00000244355	Lymphocyte antigen 6 complex, locus G6D	6	31715356-31717804	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA054412	Supportive				Tissue enhanced	0	prostate: 3.0	rectum: 0.6
LY6G6E	C6orf22, G6e	ENSG00000255552	Lymphocyte antigen 6 complex, locus G6E (pseudogene)	6	31711771-31714065	Predicted intracellular proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level								Not detected			bone marrow: 0.3
LY6H	NMLY6	ENSG00000176956	Lymphocyte antigen 6 complex, locus H	8	143157914-143160711	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level						Tissue enriched	11	cerebral cortex: 29.7	stomach: 2.7
LY6K	CT97, FLJ35226, HSJ001348	ENSG00000160886	Lymphocyte antigen 6 complex, locus K	8	142700111-142705127	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA017770, CAB075742, CAB075743	Supportive				Tissue enhanced	0	testis: 17.7	adipose tissue: 3.5
LY86	dJ80N2.1, MD-1	ENSG00000112799	Lymphocyte antigen 86	6	6588108-6654983	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB025000, HPA044895	Supportive				Tissue enhanced	0	lymph node: 62.3;tonsil: 57.7	spleen: 40.4
LY96	MD-2	ENSG00000154589	Lymphocyte antigen 96	8	73991352-74029087	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA053060			Uncertain	Vesicles	Mixed			spleen: 36.2
LYG1	SALW1939	ENSG00000144214	Lysozyme G-like 1	2	99284238-99304742	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA034721	Uncertain				Tissue enhanced	0	kidney: 9.7	testis: 2.3
LYG2	LYGH	ENSG00000185674	Lysozyme G-like 2	2	99242246-99255282	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA039179	Uncertain				Tissue enhanced	0	testis: 0.7	bone marrow: 0.2
LYNX1	SLURP2	ENSG00000180155	Ly6/neurotoxin 1	8	142764334-142778224	Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA023711	Uncertain				Tissue enhanced	0	esophagus: 221.3	skin: 72.5
LYPD1	LYPDC1, MGC29643	ENSG00000150551	LY6/PLAUR domain containing 1	2	132644853-132671579	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		CAB020783	Uncertain				Tissue enriched	6	fallopian tube: 81.7	cerebral cortex: 12.7
LYPD2	LYPDC2, RGTR430, UNQ430	ENSG00000197353	LY6/PLAUR domain containing 2	8	142750150-142752534	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA028599	Uncertain				Tissue enhanced	0	esophagus: 71.1;stomach: 20.1	tonsil: 18.7
LYPD4	MGC42718	ENSG00000273111	LY6/PLAUR domain containing 4	19	41837074-41844697	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level							Tissue enriched	802	testis: 80.2	adipose tissue: 0.0
LYPD6	MGC52057	ENSG00000187123	LY6/PLAUR domain containing 6	2	149329985-149474148	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA042805	Uncertain		Uncertain	Cytoplasm	Tissue enhanced	0	gallbladder: 11.2;placenta: 10.7	testis: 4.1
LYPD6B	CT116, LYPD7	ENSG00000150556	LY6/PLAUR domain containing 6B	2	149038107-149215262	Predicted secreted proteins, Transporters	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA049239	Uncertain				Group enriched	6	fallopian tube: 27.4;gallbladder: 42.8;skin: 40.8;stomach: 31.4;testis: 22.8;urinary bladder: 16.1	prostate: 5.3
LYPD8		ENSG00000259823	LY6/PLAUR domain containing 8	1	248718649-248755739	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level								Group enriched	10	colon: 91.3;rectum: 83.8	appendix: 9.1
LYZ		ENSG00000090382	Lysozyme	12	69348341-69354234	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB000055, HPA048284	Supportive				Group enriched	6	bone marrow: 6155.8;duodenum: 3131.9;salivary gland: 10883.5;stomach: 9898.3	gallbladder: 1175.2
LYZL4	LYC4, MGC26768	ENSG00000157093	Lysozyme-like 4	3	42397078-42410600	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA038806	Uncertain				Tissue enriched	83	testis: 23.2	cerebral cortex: 0.2
LYZL6	LYC1, PRO1485, TKAL754	ENSG00000275722	Lysozyme-like 6	17	35934518-35943699	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA025734, HPA053073	Supportive				Tissue enriched	289	testis: 28.8	adipose tissue: 0.0
M6PR		ENSG00000003056	Mannose-6-phosphate receptor (cation dependent)	12	8940363-8949955	FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB034464, HPA040445	Uncertain				Expressed in all			lymph node: 88.2
MAD1L1	HsMAD1, MAD1, PIG9, TP53I9, TXBP181	ENSG00000002822	MAD1 mitotic arrest deficient-like 1 (yeast)	7	1815793-2233243	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA003635, CAB015338	Supportive		Supportive	Nucleus, Cytoplasm, Cytoskeleton (Actin filaments)	Expressed in all			lymph node: 20.2
MAFIP		ENSG00000277400	MaFF-interacting protein 	Unmapped	53590-115018	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level							Mixed			ovary: 2.7
MAG	GMA, S-MAG, SIGLEC-4A, SIGLEC4A	ENSG00000105695	Myelin associated glycoprotein	19	35292125-35313804	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB009345, HPA012499	Supportive				Group enriched	12	cerebral cortex: 71.6;ovary: 16.5	fallopian tube: 3.6
MAGT1	DKFZp564K142, IAP, MRX95, OST3B	ENSG00000102158	Magnesium transporter 1	X	77826364-77895593	Disease related genes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA049851	Uncertain				Expressed in all			thyroid gland: 87.2
MALSU1	C7orf30, mtRsfA	ENSG00000156928	Mitochondrial assembly of ribosomal large subunit 1	7	23298739-23311729	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA020487, HPA052210	Uncertain		Supportive	Mitochondria	Mixed			placenta: 4.8
MAMDC2	MGC21981	ENSG00000165072	MAM domain containing 2	9	70043581-70226970	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA021814, HPA022249	Uncertain				Mixed			endometrium: 36.7
MAN2B1	LAMAN, MANB	ENSG00000104774	Mannosidase, alpha, class 2B, member 1	19	12646511-12666742	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA041530, HPA053404	Supportive		Uncertain	Nucleus but not nucleoli, Vesicles	Expressed in all			spleen: 60.9
MAN2B2	KIAA0935	ENSG00000013288	Mannosidase, alpha, class 2B, member 2	4	6575175-6623362	Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA037005	Uncertain				Expressed in all			thyroid gland: 21.7
